id,date,title,slug,news_category,location,byline,reprint_url,reprint_publication,reprint_logo,podcast,season,episode,youtube_url,mp3_url,sector1,sector2,sector3,service1,service2,service3,office1,office2,office3,office4,internal_byline1,internal_byline2,migration_status,migration_note
68260,2025-02-07,"Seismic Upgrades in Healthcare: Understanding Compliance With SB 1953 Part 1",seismic-upgrades-in-healthcare-understanding-compliance-with-sb-1953-part-1,,,,,,,,,,,,healthcare,,,,,,,,,,,,,
68236,2025-01-31,"Rebuilding Homes After LA Fires Could Siphon Workers From CRE Jobs",rebuilding-homes-after-la-fires-could-siphon-workers-from-cre-jobs,,,,,,,,,,,,,,,,,,,,,,,,,
68209,2025-01-21,"Balancing History and Innovation: The Art of Historic Restorations",balancing-history-and-innovation-the-art-of-historic-restorations,,,,,,,"The Construction Insiders Podcast",2,5,https://youtu.be/LcdkMFkbnwc,,,,,,,,,,,,,,,
68202,2025-01-17,"LA Wildfires Construction Impact",la-wildfires-construction-impact,,,,,,,,,,,,,,,,,,,,,,,,,
68190,2025-01-16,"Cumming Group Acquires Dublin-based Lafferty, Strengthening the Team’s Project Management Expertise Across Ireland",cumming-group-acquires-dublin-based-lafferty-strengthening-the-teams-project-management-expertise-across-ireland,,,,,,,,,,,,,,,,,,,,,,,,,
68079,2024-12-18,"Minimizing Construction Impacts During a Historic Holiday Air-Travel Season",minimizing-construction-impacts-during-a-historic-holiday-air-travel-season,,,,,,,,,,,,transportation,,,,,,,,,,,,,
68068,2024-12-18,"Market Insight: 2024 Market & Pricing Review",market-insight-2024-market-pricing-review,,,,,,,,,,,,,,,,,,,,,,,,,
68036,2024-12-13,"Honorhealth Reaches Key Milestone in $170 Million Expansion at Deer Valley Medical Center",honorhealth-reaches-key-milestone-in-170-million-expansion-at-deer-valley-medical-center,,,,,,,,,,,,,,,,,,,,,,,,,
68018,2024-12-05,"Construction Industry Outlook: Building Momentum in 2024",construction-industry-outlook-building-momentum-in-2024,,,,,,,,,,,,,,,,,,,,,,,,,
67947,2024-11-21,"Building for the Future: Women's Sports Facilities and the New Era of Design and Construction",building-for-the-future-womens-sports-facilities-and-the-new-era-of-design-and-construction,,,,,,,"The Construction Insiders Podcast",2,4,https://youtu.be/Q1j2HVFAqCA,,,,,,,,,,,,,,,
67933,2024-11-20,"BTTC Merges with Cumming Group, Expanding Cumming Group’s Infrastructure Capabilities Across the UK and North America",bttc-merges-with-cumming-group-expanding-cumming-groups-infrastructure-capabilities-across-the-uk-and-north-america,,,,,,,,,,,,,,,,,,,,,,,,,
67880,2024-11-14,"Navigating the Complexities of Large-Scale Restorations: Essential Considerations for Institutional Property Owners",navigating-the-complexities-of-large-scale-restorations-essential-considerations-for-institutional-property-owners,,,,,,,,,,,,,,,,,,,,,,,,,
67717,2024-10-23,"Texas Education Construction: Managing Growth and Opportunity",texas-education-construction-managing-growth-and-opportunity,,,,,,,"The Construction Insiders Podcast",2,3,https://youtu.be/H3kp-Q1YgUM,,higher-education,k-12-education,,,,,,,,,,,,
67719,2024-10-22,"Cumming Group Merges With CLoSE UK, Expanding Public Sector Portfolio and Government Estate Management Capabilities Throughout the UK",cumming-group-merges-with-close-uk-expanding-public-sector-portfolio-and-government-estate-management-capabilities-throughout-the-uk,,,,,,,,,,,,,,,,,,,,,,,,,
67698,2024-10-17,"$50M project to double Hackensack Meridian Palisades ED underway",50m-project-to-double-hackensack-meridian-palisades-ed-underway,,,,,,,,,,,,,,,,,,cranford,,,,,,,
67671,2024-10-17,"Market Insight: Inflation Update & Sector Focus: Purpose-Built Student Accommodation",inflation-update-sector-focus-purpose-built-student-accommodation,,,,,,,,,,,,,,,,,,,,,,,,,
67587,2024-09-12,"Integrated Project Delivery in Healthcare Construction: Evolving Strategies for Complex Facilities",integrated-project-delivery-in-healthcare-construction-evolving-strategies-for-complex-facilities,,,,,,,"The Construction Insiders Podcast",2,2,https://youtu.be/nyD9sr_pEkY,,,,,,,,,,,,,,,
67477,2024-08-23,"The Evolving Landscape of Construction and Real Estate: Mid-2024 Outlook",the-evolving-landscape-of-construction-and-real-estate-mid-2024-outlook,,,,,,,,,,,,,,,,,,,,,,,,,
67209,2024-08-02,"Project Management Team Continues Expansion as Specialized Approach Fuels Growth Throughout Texas",project-management-team-continues-expansion-as-specialized-approach-fuels-growth-throughout-texas,,,,,,,,,,,,,,,,,,fort-worth,,,,,,,
66708,2024-07-09,"Cumming Group Moves up 4 spots to #10 on ENR’s annual Ranking",cumming-group-moves-up-4-spots-to-10-on-enrs-annual-ranking,,,,,,,,,,,,,,,,,,,,,,,,,
66194,2024-07-08,"Integrating New Tools and Technologies in Healthcare Construction Projects",integrating-new-tools-and-technologies-in-healthcare-construction-projects,,,,,,,,,,,,healthcare,,,,,,,,,,,,,
66700,2024-07-02,"Cumming Group Picks Gavin Middleton and Christine Mosholder for Top Posts",cumming-group-picks-gavin-middleton-and-christine-mosholder-for-top-posts,,,,,,,,,,,,,,,,,,,,,,,,,
67199,2024-07-01,"State of the Company: 2024 Update",state-of-the-company-2024-update,,,,,,,,,,,,,,,,,,,,,,,,,
66491,2024-06-26,"Navigating the Complexities of Today's Construction Market: Challenges, Opportunities, and Strategic Insights",navigating-the-complexities-of-todays-construction-market-challenges-opportunities-and-strategic-insights,,,,,,,,,,,,,,,,,,,,,,,,,
