title,slug,location,name,email,phone,address,region,migration_status,migration_notes
London,london,England,,,44 (0) 20 7323 6809,"1 Fellmongers Path, Tower Bridge Road, London, SE1 3LY",england,auto-migrated,
Buckingham,buckingham,England,Close UK,,44 (0) 28 0824 097,"Units 11 & 12, Apollo Office Court, Radclive Road, Gawcott, Buckingham, MK18 4DF",england,auto-migrated,
Birmingham,birmingham,England,BTTC,,,"87 Caroline Street, Birmingham, B3 1UP",england,auto-migrated,
Chesterfield,chesterfield,England,Close UK,,44 (0)1246 206762,"9 Royal Court, Basil Close, Chesterfield, S41 7SL",england,auto-migrated,
Manchester,manchester,England,,,44 (0) 161 503 9080,"31 Booth Street, Manchester, M2 4AF",england,auto-migrated,
Stoke-On-Trent,stoke-on-trent,England,,,44 (0) 1782 211922,"The Gatehouse, Bessemer Drive, Stoke-on-Trent, ST1 5GR",england,auto-migrated,
Exeter,exeter,England,ChandlerKBS,,44 (0) 1392 365447,"Suite 3B, Aston Court, Pynes Hill, Exeter, EX2 5AZ",england,auto-migrated,
Boca Raton,boca-raton,Florida,,,1 (561) 391 6917,"129 NW 13th Street, Boca Raton, FL 33432",florida,auto-migrated,
Miami,miami,Florida,,,1 (786) 785 6500,"545 NW 26th Street, Suite 610, Miami, FL 33127",florida,auto-migrated,
Orlando,orlando,Florida,,,1 (407) 258 3580,"9100 Conroy Windermere Road, Suite 200, Windermere, FL 34786",florida,delete,office closed
West Palm Beach,west-palm-beach,Florida,Zubatkin,,1 (561) 320 8040,"560 Village Boulevard, Suite 120, West Palm Beach, FL 33409",florida,auto-migrated,
Paris,paris,France,,,33 (1) 8626 5308,"124 rue Réaumur, 75002, Paris, France",france,auto-migrated,
Dusseldorf,dusseldorf,Germany,,,49 (0) 211 992 101,"Königsallee 11, 40212 Düsseldorf, Germany",germany,auto-migrated,
Munich,munich,Germany,,,49 (0) 211 992 101,"Design Offices München, Schwabinger Tor, Leopoldstraβe 180, 80804 München, Germany",germany,auto-migrated,
Frankfurt,frankfurt,Germany,,,49 (0) 30 887 150 660,"Bockenheimer Anlage 46, 60322 Frankfurt am Main, Germany",germany,auto-migrated,
Berlin,berlin,Germany,,,49 (0) 30 887 150 660,"Lietzenburger Strasse 75, 10719, Berlin, Germany",germany,auto-migrated,
Honolulu,honolulu,Hawaii,,,1 (808) 947 4525,"841 Bishop Street, Suite 725, Honolulu, HI 96813",hawaii,auto-migrated,
Cork,cork,Ireland,,,353 (0) 21 202 9255,"74 South Mall, Cork, T12 F3FD, Ireland",ireland,auto-migrated,
Dublin,dublin,Ireland,,,353 (0)1 518 0800,"One West Pier Business Campus, Dun Laoghaire, Co.Dublin, A96 F8C0, Ireland",ireland,auto-migrated,
Milan,milan,Italy,,,,"Via San Prospero, 1, 20121, Milan, Italy",italy,auto-migrated,
Washington,washington-dc,District of Columbia,,,1 (301) 968 8880,"4550 Montgomery Avenue, Suite 340N, Bethesda, MD 20814",midatlantic,auto-migrated,
Chicago,chicago,Illinois,,,1 (708) 967 3571,"1 North LaSalle Street, Suite 1910, Chicago, IL 60602",midwest,auto-migrated,
Santa Rosa,santa-rosa,,,,,,norcal,delete,office closed 
Concord,concord,California,,,1 (925) 671 7717,"3230 Monument Way, Concord, CA 94518",norcal,auto-migrated,
Mountain View,mountain-view,California,,,1 (650) 324 5324,"201 Moffett Boulevard, Mountain View, CA 94043",norcal,auto-migrated,
Oakland,oakland,California,,,1 (510) 906 2123,"1111 Broadway, Suite 300, Oakland, CA 94607",norcal,auto-migrated,
Sacramento,sacramento,California,,,1 (916) 660 9030,"3400 Douglas Boulevard, Suite 120, Roseville, CA 95661",norcal,auto-migrated,
San Francisco,san-francisco,California,,,1 (415) 748 3080,"475 Sansome Street, Suite 700, San Francisco, CA 94111",norcal,auto-migrated,
Silicon Valley,silicon-valley,California,,,1 (408) 246 6327,"4020 Moorpark Avenue, Suite 220, San Jose, CA 95117",norcal,auto-migrated,
Hilversum,hilversum,Netherlands,,,,"Olympia 2D, 1213 NT, Hilversum, Netherlands",netherlands,delete,office closed
Vail,vail,Colorado,,,1 (970) 977 3010,"0101 Fawcett Road, Unit 260, Avon, CO 81620",northcentral,auto-migrated,
Denver,denver,Colorado,,,1 (303) 771 0396,"88 Inverness Circle East, Building G, Suite 101, Englewood, CO 80112",northcentral,auto-migrated,
Boston,boston,Massachusetts,,,1 (857) 444 6910,"330 Congress Street, 2nd Floor, Boston, MA 02210",northeast,auto-migrated,
Cranford,cranford,New Jersey,,,1 (908) 516 7010,"200 South Avenue East, Suite 302, Cranford, NJ 07016",northeast,auto-migrated,
New York,new-york,New York,,,1 (212) 459 1818,"900 Third Avenue, 6th Floor, New York, NY 10022",northeast,auto-migrated,
Westport,westport,Connecticut,,,1 (203) 635 9540,"276 Post Road West, 2nd Floor, Westport, CT 06880",northeast,auto-migrated,
Toronto,toronto,Ontario,BTTC,,,"265 Queen Street West, 2nd Floor, Toronto, Ontario, M5H 2M5, Canada",northeast,auto-migrated,
Belfast,belfast,Northern Ireland,,,44 (0) 28 9002 0507,"605 Antrim Road, Mallusk, Belfast, BT36 4RY",northern-ireland,auto-migrated,
Oslo,oslo,Norway,,,47 40 542 919,"St. Olavs Gate 25, 0166 Oslo, Norway",norway,auto-migrated,
Bend,bend,Oregon,,,1 (458) 600 1284,"2838 NW Crossing Drive, Suite 7, Bend, OR 97703",pacific-nw,auto-migrated,
Portland,portland,Oregon,,,1 (503) 241 8099,"6000 Meadows Road, Suite 410, Lake Oswego, OR 97035",pacific-nw,auto-migrated,
Seattle,seattle,Washington,,,1 (206) 876 8008,"601 Union Street, Suite 1825, Seattle, WA 98101",pacific-nw,auto-migrated,
Vancouver,vancouver,British Columbia,,,,"777 Hornby Street, Suite 600, Vancouver, British Columbia, V6Z 1S4",pacific-nw,auto-migrated,
Edinburgh,edinburgh,Scotland,,,44 (0) 747 199 7848,"61 Dublin Street, Edinburgh, EH3 6NL",scotland,auto-migrated,
Aliso Viejo,aliso-viejo,California,,,1 (949) 900 0440,"120 Vantis Drive, Suite 510, Aliso Viejo, CA 92656",socal,auto-migrated,
Los Angeles,los-angeles,California,,,1 (213) 408 4518,"350 South Grand Avenue, Suite 1900, Los Angeles, CA 90071",socal,auto-migrated,
Murrieta,murrieta,California,,,1 (951) 252 8555,"25220 Hancock Avenue, Suite 440, Murrieta, CA 92562",socal,auto-migrated,
San Diego,san-diego,California,,,1 (858) 485 6765,"15010 Avenue of Science, Suite 100, San Diego, CA 92128",socal,auto-migrated,
Fort Worth,fort-worth,Texas,,,1 (888) 422 1882,"4200 South Hulen Street, Suite 410, Fort Worth, TX 76109",southcentral,auto-migrated,
Houston,houston,Texas,Gallagher,,1 (888) 422 1882,"15115 Park Row, Suite 340, Houston, TX 77084",southcentral,auto-migrated,
Richardson,richardson,Texas,Gallagher,,1 (888) 422 1882,"3501 Token Drive, Suite 100, Richardson, TX 75082",southcentral,auto-migrated,
Waco,waco,Texas,,,1 (254) 301 7781,"913 Franklin Avenue, Suite 207, Waco, TX 76701",southcentral,auto-migrated,
Atlanta,atlanta,Georgia,,,1 (470) 552 4009,"211 Perimeter Center Parkway NE, Suite 120, Atlanta, GA 30346",southeast,auto-migrated,
Charleston,charleston,South Carolina,,,1 (843) 203 2900,"4399 Corporate Road, Building 300, North Charleston, SC 29405",southeast,auto-migrated,
Columbia,columbia,South Carolina,,,1 (803) 256 1989,"720 Lady Street, Columbia, SC 29201",southeast,auto-migrated,
Raleigh,raleigh,North Carolina,,,1 (919) 237 4100,"5540 Centerview Drive, Suite 316, Raleigh, NC 27606",southeast,auto-migrated,
Nashville,nashville,Tennessee,,,1 (615) 610 9750,"1 Music Circle South, Suite 430, Nashville, TN 37203",southeast,auto-migrated,
Scottsdale,scottsdale,Arizona,,,1 (602) 801 1970,"14350 North 87th Street, Suite 275, Scottsdale, AZ 85260",southwest,auto-migrated,
Reno,reno,Nevada,,,1 (775) 737 9383,"200 South Virginia Street, 8th Floor, Reno, NV 89501",southwest,auto-migrated,
Las Vegas,las-vegas,Nevada,,,1 (702) 793 4511,"3753 Howard Hughes Parkway, Suite 200, Las Vegas, Nevada 89169",southwest,auto-migrated,
Zurich,zurich,Switzerland,,,,"Bleicherweg 10, 8002, Zürich, Switzerland",switzerland,auto-migrated,
Cardiff,cardiff,Wales,,,44 (0) 29 2035 2300,"Chandlers House, Terra Nova Way, Penarth Marina, Cardiff, CF64 1SA",wales,auto-migrated,
New York,new-york,New York,Zubatkin,,1 (212) 271 4850,"1250 Broadway, 10th Floor, New York, NY 10001",northeast,auto-migrated,
Cork,cork,Ireland,Lafferty,,353 (0)1 296 3660,"Unit GG, North Valley Business, Centre Old Mallow Road, Cork, T23 FX90",ireland,auto-migrated,
Dublin,dublin,Ireland,Lafferty,,354 (0)1 296 3660,"Dundrum Town Centre, Sandyford Road, Dundrum, Dublin 16, D16 P3K4",ireland,auto-migrated,
Galway,galway,Ireland,Lafferty,,355 (0)1 296 3660,"Carleycon House, Main Street, Oranmore, Galway, H91 DVX4",ireland,auto-migrated,
London,london,England,BTTC,,,"Floor 4, 6-7 Queen Street, London, EC4N 1SP",england,auto-migrated,
Manchester,manchester,England,BTTC,,,"Suite A, Floor 3, 52 Princess Street, Manchester, M1 6JX",england,auto-migrated,
