id,date,title,slug,client,facility,location,start_date,end_date,owner,architect,vendors,contractors,case_study_pdf,sector1,sector2,sector3,sector4,service1,service2,service3,service4,office1,office2,office3,migration_status,migration_note
68076,2024-12-19,"Hyperscale Data Center Facilities",hyperscale-data-center-facilities,,,,,,,,,,,data-centers,,,,planning-scheduling,,,,,,,auto-migrated,
68060,2024-12-16,"LAX01-01 Data Center ",lax01-01-data-center,"Prime Data Centers",,,,,,,,,,data-centers,,,,cost-commercial-management,,,,los-angeles,,,auto-migrated,
68033,2024-12-13,"Hyperscale Data Center Portfolio",hyperscale-data-center-portfolio-north-america-europe,,,,,,,,,,,data-centers,,,,planning-scheduling,cost-commercial-management,,,,,,auto-migrated,
67425,2024-11-05,"Bristol Temple Meads Building Fabric Refurbishment",bristol-temple-meads-building-fabric-refurbishment-bristol-uk,,,,,,,,,,,rail-mass-transit,,,,cost-management,,,,,,,auto-migrated,
67429,2024-11-05,"A5 Western Transport Corridor",a5-western-transport-corridor-londonderry-to-aughnacloy-uk,"NI Executive",,,,,,,,,,highways,,,,cost-management,,,,,,,auto-migrated,
67433,2024-11-05,"London Luton Airport Terminal Reconfiguration and Extension",london-luton-airport-terminal-reconfiguration-and-extension-luton-uk,"London Luton Airport",,,,,,,,,,aviation,,,,cost-management,,,,london,,,auto-migrated,
67437,2024-11-05,"Dŵr Cyrmu Welsh Water AMP7",dwr-cyrmu-welsh-water-amp7-wales,"Dŵr Cyrmu Welsh Water",,,,,,,,,,energy-utilities,,,,project-management,,,,cardiff,,,auto-migrated,
67500,2024-11-05,"Dublin Metrolink",dublin-metrolink-dublin-ireland,,,,,,,,,,,rail-mass-transit,,,,cost-management,,,,dublin,,,auto-migrated,
67424,2024-11-05,"Dublin City Bus Connects",dublin-city-bus-connects-dublin-ireland,,,,,,,,,,,rail-mass-transit,,,,cost-management,,,,dublin,,,auto-migrated,
67450,2024-11-05,"New Central Search Security Building",project-pegasus-new-central-search-security-building-belfast-northern-ireland,,,,,,,,,,,aviation,,,,cost-management,project-management,,,belfast,,,auto-migrated,
67454,2024-11-05,"Magnox Trawsfynydd Nuclear Decommissioning",magnox-trawsfynydd-nuclear-decommissioning-gwynedd-wales,,,,,,,,,,,energy-utilities,,,,energy-sustainability-solutions,project-management,,,,,,auto-migrated,
67459,2024-11-05,"Transport for Wales PMO",transport-for-wales-pmo-various-cities-wales,,,,,,,,,,,rail-mass-transit,,,,project-management,project-controls,,,cardiff,,,auto-migrated,
67471,2024-11-05,"A8 Belfast to Larne Dual Carriageway",a8-belfast-to-larne-dual-carriageway-belfast-northern-ireland,,,,,,,,,,,highways,,,,cost-management,dispute-resolution-avoidance,,,belfast,,,auto-migrated,
67505,2024-11-05,"BIA Main Runway Rehabilitation",bia-main-runway-rehabilitation-belfast-ireland,,,,,,,,,,,aviation,,,,cost-management,project-management,,,belfast,,,auto-migrated,
67523,2024-11-05,"Major Project Partnership Framework",major-project-partnership-framework,"NI Water",,,,,,,,,,energy-utilities,,,,,,,,belfast,,,auto-migrated,
67509,2024-11-05,"Operational Delivery Programme",operational-delivery-programme-various-cities-uk,,,,,,,,,,,rail-mass-transit,,,,project-management,,,,,,,auto-migrated,
67513,2024-11-05,"M20 Operation Stack",m20-operation-stack-kent-uk,,,,,,,,,,,highways,,,,,,,,,,,auto-migrated,
67518,2024-11-05,"Isle of Man Airport",isle-of-man-airport-ronaldsway-isle-of-man,,,,,,,,,,,aviation,,,,cost-management,,,,,,,auto-migrated,
67826,2024-11-05,"Western Power Distribution Major Work Programme",western-power-distribution-major-work-programme-uk,,,,,,,,,,,energy-utilities,,,,project-controls,,,,,,,auto-migrated,
67764,2024-10-28,"Lutheran Medical Center",intermountain-health-lutheran-medical-center-wheatridge-co,"Intermountain Health",,,,,,,,,,healthcare,,,,cost-commercial-management,program-project-management,planning-scheduling,,denver,,,auto-migrated,
67624,2024-09-30,"Confidential Hotel, ""LV Tower 52""",confidential-hotel-lv-tower-52-las-vegas-nv,,,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,las-vegas,,,auto-migrated,
67555,2024-08-28,"Treehouse Hotel Silicon Valley",treehouse-hotel-silicon-valley-sunnyvale-ca,"Starwood Capital Group",,,,,,,,,,hospitality-gaming,,,,cost-commercial-management,program-project-management,planning-scheduling,,san-francisco,silicon-valley,,auto-migrated,
67550,2024-08-28,Andaz,andaz-miami-beach-fl,"Sunstone Hotel Investors",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,miami,,,auto-migrated,
66449,2024-07-30,"Hilton Barcelona",hilton-barcelona-spain,Hilton,,,,,,,,,,hospitality,,,,project-management,cost-management,,,dusseldorf,,,auto-migrated,
66537,2024-07-30,"The Cambrian",the-cambrian-adelboden-zurich,,,,,,,,,,,hospitality,,,,project-management,cost-management,,,zurich,,,auto-migrated,
67121,2024-07-17,"One Wall Street",one-wall-street-new-york-ny,"Macklowe Properties",,,,,,,,,,luxury-residential,,,,cost-commercial-management,program-project-management,planning-scheduling,,new-york,,,auto-migrated,
66633,2024-06-28,"Williamstown Primary School",williamstown-primary-school-penrhiwfer-uk,,,,,,,,,,,public-sector,,,,project-management,,,,cardiff,,,auto-migrated,
66522,2024-06-28,"Radisson Blu Scandinavia Hotel",radisson-blu-scandinavia-hotel-oslo-norway,Radisson,,,,,,,,,,hospitality,,,,project-management,cost-management,,,oslo,,,auto-migrated,
66624,2024-06-28,"William Booth College",william-booth-college-london-uk,"William Booth College",,,,,,,,,,public-sector,,,,cost-management,,,,london,,,auto-migrated,
66578,2024-06-28,"The Caledonian Edinburgh",the-caledonian-edinburgh-curio-collection-by-hilton-edinburgh-uk,"Hilton Hotles & Resorts",,,,,,,,,,hospitality,,,,project-management,cost-management,,,edinburgh,,,auto-migrated,
66572,2024-06-28,"University of East London, Stratford Campus",university-of-east-london-stratford-campus-london-uk,"University of East London",,,,,,,,,,public-sector,,,,cost-management,,,,london,,,auto-migrated,
66565,2024-06-28,"The Lygon Arms Broadway",the-lygon-arms-broadway-london-uk,,,,,,,,,,,hospitality,,,,project-management,cost-management,,,london,,,auto-migrated,
66576,2024-06-28,"Urban Meadow Café and Bar",urban-meadow-cafe-and-bar-london-uk,"Hilton Hotles & Resorts",,,,,,,,,,hospitality,,,,cost-commercial-management,project-management,,,london,,,auto-migrated,
66560,2024-06-28,"The Glasshouse Hotel",the-glasshouse-hotel-edinburgh-uk,,,,,,,,,,,hospitality,,,,project-management,,,,edinburgh,,,auto-migrated,
66535,2024-06-28,"Computational Foundry",swansea-university-computational-foundry-cardiff-uk,"Swansea University",,,,,,,,,,public-sector,,,,project-management,,,,cardiff,,,auto-migrated,
66533,2024-06-27,"Steigenberger Frankfurter",steigenberger-frankfurter-hof-dusseldorf,,,,,,,,,,,hospitality,,,,cost-management,project-management,,,munich,,,auto-migrated,
66529,2024-06-26,"Sky Munich Headquarters",sky-munich-headquarters-munich-germany,,,,,,,,,,,workplace,,,,,,,,munich,,,auto-migrated,
66531,2024-06-26,"SI Centrum Stuttgart",si-centrum-stuttgart-germany,,,,,,,,,,,hospitality,,,,,,,,dusseldorf,,,auto-migrated,
66525,2024-06-26,"Radisson Collection Royal Hotel",radisson-collection-royal-hotel-copenhagen-denmark,"Radisson Hotels",,,,,,,,,,hospitality,,,,cost-management,project-management,,,oslo,,,auto-migrated,
66520,2024-06-26,"Radisson Blu Royal Viking",radisson-blu-royal-viking-stockholm-sweden,"Radisson Hotels",,,,,,,,,,hospitality,,,,cost-management,project-management,,,oslo,,,auto-migrated,
66508,2024-06-26,"Radisson Blu",radisson-blu-basel-switzerland,"Radisson Hotels",,,,,,,,,,hospitality,,,,cost-management,project-management,,,zurich,,,auto-migrated,
66499,2024-06-26,"Radisson Blu Airport Hotel",radisson-blu-airport-hotel-oslo-norway,"Radisson Hotels",,,,,,,,,,hospitality,,,,cost-management,project-management,,,oslo,,,auto-migrated,
66481,2024-06-26,"Penarth Pier Pavilion Restoration",penarth-pier-pavilion-restoration-penarth-uk,,,,,,,,,,,public-sector,,,,cost-management,project-management,,,cardiff,,,auto-migrated,
