title,slug,location,region,address,email,phone,
Exeter,exeter,England,england,,,,
London,london,England,england,,,,
Buckingham,buckingham,England,england,,,,
Birmingham,birmingham,England,england,,,,
Chesterfield,chesterfield,England,engalnd,,,,
Manchester,manchester,England,england,,,,
Stoke-On-Trent,stoke-on-trent,England,england,,,,
Boca Raton,boca-raton,Florida,florida,,,,
Miami,miami,Florida,florida,,,,
Orlando,orlando,Florida,florida,,,,
West Palm Beach,west-palm-beach,Florida,florida,,,,
Paris,paris,France,france,,,,
Munich,munich,Germany,germany,,,,
Frankfurt,frankfurt,Germany,germany,,,,
Berlin,berlin,Germany,germany,,,,
Dusseldorf,dusseldorf,Germany,germany,,,,
Honolulu,honolulu,Hawaii,hawaii,,,,
Cork,cork,Ireland,ireland,,,,
Dublin,dublin,Ireland,ireland,,,,
Milan,milan,Italy,italy,,,,
Chicago,chicago,Illinois,midwest,,,,
Reno,reno,Nevada,southwest,,,,
Las Vegas,las-vegas,Nevada,southwest,,,,
Concord,concord,California,norcal,,,,
Mountain View,mountain-view,California,norcal,,,,
Oakland,oakland,California,norcal,,,,
Sacramento,sacramento,California,norcal,,,,
San Francisco,san-francisco,California,norcal,,,,
Silicon Valley,silicon-valley,California,norcal,,,,
Denver,denver,Colorado,northcentral,,,,
Vail,vail,Colorado,northcentral,,,,
Boston,boston,Massachusetts,northeast,,,,
Cranford,cranford,New Jersey,northeast,,,,
New York,new-york,New York,northeast,,,,
Westport,westport,Connecticut,northeast,,,,
Toronto,toronto,Canada,northeast,,,,
Belfast,belfast,Northern Ireland,northern-ireland,,,,
Oslo,oslo,Norway,norway,,,,
Bend,bend,Oregon,pacific-nw,,,,
Portland,portland,Oregon,pacific-nw,,,,
Seattle,seattle,Washington,pacific-nw,,,,
Edinburgh,edinburgh,Scotland,scotland,,,,
Aliso Viejo,aliso-viejo,California,socal,,,,
Los Angeles,los-angeles,California,socal,,,,
Murrieta,murrieta,California,socal,,,,
San Diego,san-diego,California,socal,,,,
Fort Worth,fort-worth,Texas,southcentral,,,,
Houston,houston,Texas,southcentral,,,,
Richardson,richardson,Texas,southcentral,,,,
Waco,waco,Texas,southcentral,,,,
Atlanta,atlanta,Georgia,southeast,,,,
Charleston,charleson,South Carolina,southeast,,,,
Columbia,columbia,South Carolina,southeast,,,,
Raleigh,raleigh,North Carolina,southeast,,,,
Nashville,nashville,Tennessee,southeast,,,,
Zurich,zurich,Switzerland,switzerland,,,,
Cardiff,cardiff,Wales,wales,,,,
Washington,washington,DC,midatlantic,,,,
Santa Rosa,santa-rosa,California,norcal,,,,
Vancouver,vancouver,British Columbia,pacific-nw,,,,
Scottsdale,scottsdale,Arizona,southwest,,,,
