id,type,title,slug,locale,region,parent
,cg_office,"Exeter, UK",exeter,,england,
,cg_office,"London, UK",london,,england,
,cg_office,"Buckingham, UK",buckingham,,england,
,cg_office,"Birmingham, UK",birmingham,,england,
,cg_office,"Chesterfield, UK",chesterfield,,engalnd,
,cg_office,"Manchester, UK",manchester,,england,
,cg_office,"Stoke-On-Trent, UK",stoke-on-trent,,england,
,cg_office,"Boca Raton, FL",boca-raton,,florida,
,cg_office,"Miami, FL",miami,,florida,
,cg_office,"Orlando, FL",orlando,,florida,
,cg_office,"West Palm Beach, FL",west-palm-beach,,florida,
,cg_office,"Paris, France",paris,,france,
,cg_office,"Munich, Germany",munich,,germany,
,cg_office,"Frankfurt, Germany",frankfurt,,germany,
,cg_office,"Berlin, Germany",berlin,,germany,
,cg_office,"Dusseldorf, Germany",dusseldorf,,germany,
,cg_office,"Honolulu, HI",honolulu,,hawaii,
,cg_office,"Cork, Ireland",cork,,ireland,
,cg_office,"Dublin, Ireland",dublin,,ireland,
,cg_office,"Milan, Italy",milan,,italy,
,cg_office,"Chicago, IL",chicago,,midwest,
,cg_office,"Reno, NV",reno,,nevada,
,cg_office,"Las Vegas, NV",las-vegas,,neveda,
,cg_office,"Concord, CA",concord,,norcal,
,cg_office,"Mountain View, CA",mountain-view,,norcal,
,cg_office,"Oakland, CA",oakland,,norcal,
,cg_office,"Sacremento, CA",sacremento,,norcal,
,cg_office,"San Francisco, CA",san-francisco,,norcal,
,cg_office,"Sillicon Valley, CA",silicon-valley,,norcal,
,cg_office,"Denver, CO",denver,,northcentral,
,cg_office,"Vail, CO",vail,,northcentral,
,cg_office,"Boston, MA",boston,,northeast,
,cg_office,"Cranford, NJ",cranford,,northeast,
,cg_office,"New York, NY",new-york,,northeast,
,cg_office,"Westport, CT",westport,,northeast,
,cg_office,"Toronto, Canada",toronto,,northeast,
,cg_office,"Belfast, Northern Ireland",belfast,,northern-ireland,
,cg_office,"Oslo, Norway",oslo,,norway,
,cg_office,"Bend, OR",bend,,pacific-nw,
,cg_office,"Portland, OR",portland,,pacific-nw,
,cg_office,"Seattle, WA",seattle,,pacific-nw,
,cg_office,"Edinburgh, Scotland",edinburgh,,scotland,
,cg_office,"Aliso Viejo, CA",aliso-viejo,,socal,
,cg_office,"Los Angeles, CA",los-angeles,,socal,
,cg_office,"Murrieta, CA",murrieta,,socal,
,cg_office,"San Diego, CA",san-diego,,socal,
,cg_office,"Fort Worth, TX",fort-worth,,southcentral,
,cg_office,"Houston, TX",houston,,southcentral,
,cg_office,"Richardson, TX",richardson,,southcentral,
,cg_office,"Waco, TX",waco,,southcentral,
,cg_office,"Atlanta, GA",atlanta,,southeast,
,cg_office,"Charleston, SC",charleson,,southeast,
,cg_office,"Columbia, SC",columbia,,southeast,
,cg_office,"Raleigh, NC",raleigh,,southeast,
,cg_office,"Nashville, TN",nashville,,southeast,
,cg_office,"Zurich, Switzerland",zurich,,switzerland,
,cg_office,"Cardiff, Wales",cardiff,,wales,
,cg_office,"Washington, DC",washington,,,
,cg_office,"Santa Rosa, CA",santa-rosa,,,
,cg_office,"Vancouver, BC",vancouver,,,
,cg_office,"Scottsdale, AZ",scottsdale,,,
,cg_sector,Civic,civic,us,,
,cg_sector,Culture + Non-Profit,culture-non-profit,us,,
,cg_sector,Data Centers,data-centers,both,,
,cg_sector,Healthcare,healthcare,us,,
,cg_sector,Higher Education,higher-education,us,,
,cg_sector,Hospitality,hospitality,eu,,
,cg_sector,Hospitality + Gaming,hospitality-gaming,us,,
,cg_sector,Industrial + Logistics,industrial-logistics,eu,,
,cg_sector,Infrastructure,infrastructure,both,,
,cg_sector,K-12 Education,k-12-education,us,,
,cg_sector,Life Sciences,life-sciences,eu,,
,cg_sector,Luxury Residential,luxury-residential,us,,
,cg_sector,Public Sector,public-sector,eu,,
,cg_sector,Research + Manufacturing,research-manufacturing,us,,
,cg_sector,Residential,residential,eu,,
,cg_sector,Retail,retail,both,,
,cg_sector,Sports + Recreation,sports-recreation,us,,
,cg_sector,Student Accommodation,student-accomodation,eu,,
,cg_sector,Themed Entertainment,themed-entertainment,us,,
,cg_sector,Transportation,transportation,us,,
,cg_sector,Workplace,workplace,both,,
,cg_service,Building Consultancy,building-consultancy,eu,,
,cg_service,Capital Allowances,capital-allowances,eu,,
,cg_service,Cost + Commercial Management,cost-commercial-management,us,,
,cg_service,Cost Management,cost-management,eu,,
,cg_service,Dispute Resolution + Avoidance,dispute-resolution-avoidance,us,,
,cg_service,Energy + Sustainability Solutions,energy-sustainability-solutions,both,,
,cg_service,Planning + Scheduling,planning-scheduling,us,,
,cg_service,Program + Project Management,program-project-management,us,,
,cg_service,Project Controls,project-controls,both,,
,cg_service,Project Management,project-management,eu,,
,cg_service,Project Monitoring,project-monitoring,both,,
,cg_service,Scheduling,scheduling,eu,,
