"term_id","taxonomy","slug","name","count","new_type","new_slug","action","notes"
"902","portfolio_category","retail-eu","Retail EU","10","sector","retail","RELATIONSHIP",""
"858","portfolio_category","offices-eu","Offices EU","16","sector","workplace","RELATIONSHIP",""
"860","portfolio_category","industrial-logistics-warehousing-eu","Industrial, Logistics & Warehousing EU","8","sector","industrial-logistics","RELATIONSHIP",""
"859","portfolio_category","technology-data-centres-eu","Technology & Data Centres EU","5","sector","data-centers","RELATIONSHIP",""
"911","portfolio_category","aviation-eu","Aviation EU","2","sector","transportation","RELATIONSHIP",""
"901","portfolio_category","mixed-use-eu","Mixed-Use EU","7","sector","","RELATIONSHIP",""
"900","portfolio_category","life-sciences-eu","Life Sciences EU","3","sector","life-sciences","RELATIONSHIP",""
"899","portfolio_category","hospitality-eu","Hospitality EU","38","sector","hospitality","RELATIONSHIP",""
"898","portfolio_category","corporate-solutions-eu","Corporate Solutions EU","11","sector","","RELATIONSHIP",""
"857","portfolio_category","specialty-cladding-eu","Specialty - Cladding EU","1","sector","","RELATIONSHIP",""
"856","portfolio_category","specialty-brownfield-eu","Specialty - Brownfield EU","5","sector","","RELATIONSHIP",""
"880","portfolio_category","manufacturing","Manufacturing","1","sector","infrastructure","RELATIONSHIP",""
"912","portfolio_category","transportation-eu","Transportation EU","4","sector","transportation","RELATIONSHIP",""
"376","portfolio_category","portfolio-life-science-us","Life Science US","11","sector","life-sciences","RELATIONSHIP",""
"381","portfolio_category","residential-eu","Residential EU","13","sector","residential","RELATIONSHIP",""
"66","portfolio_category","project-sectors","Project Sectors","0","sector","","RELATIONSHIP",""
"68","portfolio_category","portfolio-retail-us","Retail US","23","sector","retail","RELATIONSHIP",""
"79","portfolio_category","portfolio-themed-entertainment-us","Themed Entertainment US","8","sector","themed-entertainment","RELATIONSHIP",""
"83","portfolio_category","portfolio-commercial","Commercial","13","sector","","RELATIONSHIP",""
"84","portfolio_category","portfolio-corporate-us","Corporate US","29","sector","","RELATIONSHIP",""
