term_id,taxonomy,slug,name,count,action,new_type,new_slug,notes
1,category,uncategorized,Uncategorized,15,UNTAG,,,
2,category,news,News,282,RETAG,news-category,news,
3,category,press-releases,Press Releases,86,RETAG,news-category,press-releases,
4,category,region,Region,0,UNTAG,,,
5,category,region-west,West,84,UNTAG,,,Needs individual attention as new regions are more granular
6,category,region-east,East,111,UNTAG,,,Needs individual attention as new regions are more granular
7,category,region-international,International,25,UNTAG,,,Needs individual attention as new regions are more granular
220,category,other-news,Other News,38,RETAG,news-category,news,
335,category,podcast,Podcast,22,RETAG,news-category,podcast,
336,category,white-paper,White Paper,23,,,,Slated to be unpublished
340,category,case-study,Case Study,14,,,,These need manual merging with related projects
345,category,aia-courses,AIA Courses,3,UNTAG,,,
348,category,covid19-impacts,COVID-19 Impacts,11,UNTAG,,,
351,category,webinar,Webinar,2,UNTAG,,,
355,category,events-hosted-by-others,Events Hosted by Others,36,UNTAG,,,Converted to events
360,category,chicago-white-papers,Chicago White Papers,5,,,,Slated to be unpublished
361,category,chicago-news,Chicago News,7,RELATE,office,chicago,
364,category,sponsorships,Sponsorships,32,RETAG,news-category,news,
366,category,continuing-education,Continuing Education,0,UNTAG,,,
367,category,rics-courses,RICS Courses,4,RETAG,news-category,news,
369,category,expert-insiders-blog,Expert Insiders Blog,26,RETAG,news-category,blog,
373,category,why-cumming,Why Cumming,8,UNTAG,,,
374,category,internship-program,Internship Program,4,UNTAG,,,
425,category,boston,Boston,2,RELATE,office,boston,
426,category,office-boston-blog,Office - Boston - Blog,1,RELATE,office,boston,
499,category,blog,Blog,11,RETAG,news-category,blog,
519,category,uncategorized-en-gb,Uncategorized,0,UNTAG,,,
459,news_and_insights,news,News,109,RETAG,news-category,news,
460,news_and_insights,blog,Blog,39,RETAG,news-category,blog,
461,news_and_insights,podcast,Podcast,22,RETAG,news-category,podcast,
462,news_and_insights,white-paper,White Paper,7,,,,Slated to be unpublished
463,news_and_insights,case-study,Case Study,15,UNTAG,,,
464,news_and_insights,press-release,Press Release,43,RETAG,news-category,press-releases,
465,news_and_insights,cumming-insights,Cumming Insights,0,UNTAG,,,
466,news_and_insights,other_news,Other,0,RETAG,news-category,blog,
468,news_and_insights,expert-insights-blog,Expert Insights Blog,0,RETAG,news-category,blog,
469,news_and_insights,events,Events,36,UNTAG,,,
438,news_region,us_west,US — West,96,UNTAG,,,Needs individual attention as new regions are more granular
439,news_region,us_east,US — East,48,UNTAG,,,Needs individual attention as new regions are more granular
440,news_region,us_central,US — Central,63,UNTAG,,,Needs individual attention as new regions are more granular
441,news_region,europe_uk,Europe — UK,25,UNTAG,,,Needs individual attention as new regions are more granular
442,news_region,other_region,Other,25,UNTAG,,,
443,news_topics,aviation,Aviation,1,RELATE,sector,transportation,
444,news_topics,corporate,Corporate,0,UNTAG,,,
445,news_topics,culture_arts,Culture & Arts,3,RELATE,sector,culture-non-profit,
446,news_topics,gaming,Gaming,0,RELATE,sector,hospitality-gaming,
447,news_topics,healthcare,Healthcare,15,RELATE,sector,healthcare,
448,news_topics,higher-education,Higher Education,6,RELATE,sector,higher-education,
449,news_topics,hospitality,Hospitality,5,RELATE,sector,hospitality-gaming,
450,news_topics,industrial,Industrial,0,UNTAG,,,
451,news_topics,k-12-education,K-12 Education,13,RELATE,sector,k-12-education,
452,news_topics,luxury-residential,Luxury Residential,0,RELATE,sector,luxury-residential,
453,news_topics,mission-critical,Mission Critical,0,UNTAG,,,
454,news_topics,mixed-use,Mixed-use,2,UNTAG,,,
455,news_topics,retail,Retail,1,RELATE,sector,retail,
456,news_topics,themed-entertainment,Themed Entertainment,3,RELATE,sector,themed-entertainment,
457,news_topics,other_topic,Other,44,UNTAG,,,
458,news_topics,energy-sustainability,Energy & Sustainability,6,RELATE,service,energy-sustainability-solutions,
467,news_topics,life-science,Life Science,4,RELATE,sector,life-sciences,
867,news_topics,manufacturing,Manufacturing,1,RELATE,sector,infrastructure,
66,portfolio_category,project-sectors,Project Sectors,0,UNTAG,sector,,
68,portfolio_category,portfolio-retail-us,Retail US,23,RELATE,sector,retail,
79,portfolio_category,portfolio-themed-entertainment-us,Themed Entertainment US,8,RELATE,sector,themed-entertainment,
83,portfolio_category,portfolio-commercial,Commercial,13,,,,
84,portfolio_category,portfolio-corporate-us,Corporate US,29,RELATE,sector,workplace,
87,portfolio_category,portfolio-culture-arts-us,Culture & Arts US,29,RELATE,sector,culture-non-profit,
90,portfolio_category,portfolio-education-eu,Education EU,13,RELATE,sector,student-accomodation,
94,portfolio_category,portfolio-gaming-us,Gaming US,5,RELATE,sector,hospitality-gaming,
95,portfolio_category,portfolio-government,Government,2,RELATE,sector,public-sector,
98,portfolio_category,portfolio-healthcare-us,Healthcare US,32,RELATE,sector,healthcare,
102,portfolio_category,portfolio-higher-education-us,Higher Education US,24,RELATE,sector,higher-education,
103,portfolio_category,portfolio-hospitality-us,Hospitality US,54,RELATE,sector,hospitality-gaming,
105,portfolio_category,portfolio-industrial-us,Industrial US,6,RELATE,sector,industrial-logistics,
106,portfolio_category,portfolio-infrastructure-eu,Infrastructure EU,26,RELATE,sector,infrastructure,
108,portfolio_category,portfolio-k-12-education-us,K-12 Education US,34,RELATE,sector,k-12-education,
109,portfolio_category,portfolio-luxury-residential-us,Luxury Residential US,18,RELATE,sector,luxury-residential,
110,portfolio_category,portfolio-mission-critical-us,Mission Critical US,8,,,,
111,portfolio_category,portfolio-mixed-use-us,Mixed-Use US,15,,,,
281,portfolio_category,division,Division,0,UNTAG,,,
284,portfolio_category,division-lehrer-cumming,Lehrer Cumming,1,UNTAG,,,
322,portfolio_category,sustainability,Sustainability,12,RELATE,service,energy-sustainability-solutions,
326,portfolio_category,portfolio-aviation-us,Aviation US,8,RELATE,sector,transportation,
376,portfolio_category,portfolio-life-science-us,Life Science US,11,RELATE,sector,research-manufacturing,
381,portfolio_category,residential-eu,Residential EU,13,RELATE,sector,residential,
856,portfolio_category,specialty-brownfield-eu,Specialty - Brownfield EU,5,,,,
857,portfolio_category,specialty-cladding-eu,Specialty - Cladding EU,1,,,,
858,portfolio_category,offices-eu,Offices EU,16,RELATE,sector,workplace,
859,portfolio_category,technology-data-centres-eu,Technology & Data Centres EU,5,RELATE,sector,data-centers,
860,portfolio_category,industrial-logistics-warehousing-eu,"Industrial, Logistics & Warehousing EU",8,RELATE,sector,industrial-logistics,
880,portfolio_category,manufacturing,Manufacturing,1,RELATE,sector,infrastructure,
898,portfolio_category,corporate-solutions-eu,Corporate Solutions EU,11,RELATE,sector,workplace,
899,portfolio_category,hospitality-eu,Hospitality EU,38,RELATE,sector,hospitality,
900,portfolio_category,life-sciences-eu,Life Sciences EU,3,RELATE,sector,life-sciences,
901,portfolio_category,mixed-use-eu,Mixed-Use EU,7,,,,
902,portfolio_category,retail-eu,Retail EU,10,RELATE,sector,retail,
911,portfolio_category,aviation-eu,Aviation EU,2,RELATE,sector,aviation,
912,portfolio_category,transportation-eu,Transportation EU,4,RELATE,sector,transportation,
29,portfolio_skills,budget-analysis,Budget Analysis,0,,,,
33,portfolio_skills,construction-management,Construction Management,23,,,,
34,portfolio_skills,cost-estimating,Cost Estimating,24,RELATE,service,cost-commercial-management,
35,portfolio_skills,cost-management,Cost Management,112,RELATE,service,cost-management,
36,portfolio_skills,cost-modeling,Cost Modeling,1,,,,
40,portfolio_skills,development-management,Development Management,4,,,,
44,portfolio_skills,gmp-evaluation,GMP Evaluation,1,,,,
52,portfolio_skills,master-planning,Master Planning,2,,,,
58,portfolio_skills,owner-representation,Owner Representation,11,,,,
60,portfolio_skills,planning,Planning,0,,,,
61,portfolio_skills,preconstruction-services,Preconstruction Services,1,,,,
63,portfolio_skills,program-management,Program Management,10,RELATE,service,program-project-management,
64,portfolio_skills,project-management,Project Management,203,RELATE,service,program-project-management,
65,portfolio_skills,project-monitoring,Project Monitoring,9,RELATE,service,project-monitoring,
72,portfolio_skills,scheduling,Scheduling,19,RELATE,service,scheduling,
81,portfolio_skills,value-engineering,Value Engineering,3,,,,
321,portfolio_skills,sustainability,Sustainability,9,RELATE,service,energy-sustainability-solutions,
323,portfolio_skills,commissioning,Commissioning,4,,,,
471,portfolio_skills,move-management,Move Management,1,,,,
887,portfolio_skills,exhibit-development,Exhibit Development,2,,,,
20,portfolio_tags,abu-dhabi,Abu Dhabi,0,,,,
21,portfolio_tags,aliso-viejo,Aliso Viejo,13,RELATE,office,aliso-viejo,
28,portfolio_tags,boston,Boston,20,RELATE,office,boston,
30,portfolio_tags,charleston,Charleston,5,RELATE,office,charleston,
32,portfolio_tags,columbia,Columbia,7,RELATE,office,columbia,
37,portfolio_tags,cranford,Cranford,6,RELATE,office,cranford,
38,portfolio_tags,denver,Denver,17,RELATE,office,denver,
41,portfolio_tags,dubai,Dubai,0,,,,
42,portfolio_tags,durham,Durham,2,RELATE,office,raleigh,
43,portfolio_tags,fort-mill,Fort Mill,0,,,,
47,portfolio_tags,honolulu,Honolulu,3,RELATE,office,honolulu,
48,portfolio_tags,international,International,0,,,,
49,portfolio_tags,las-vegas,Las Vegas,4,RELATE,office,las-vegas,
